time,P,al_tube_hoop,an_tube_hoop,al_rod_sr,an_rod_sr,transmission
0.0,101325.0,,27626.051667471307,,-101325.0,
0.10000000000000081,4174290.0,614597.1387518151,812778.6101391509,-4029478.4070070153,-3727288.5329273716,0.9888544567709225
0.20000000000000367,4188930.0,553719.9449943744,756311.9622246849,-3795185.3399413223,-3777858.372625141,0.9279002192342778
0.2999999999999996,4358180.0,531508.9273931717,738919.1404617972,-3995200.9474731283,-3964740.966339007,0.9355493292520142
0.3999999999999886,4383110.0,502559.0335360009,688136.2997127238,-4049968.022086054,-3999136.055592031,0.9416991326797104
0.4999999999999776,4340980.0,460571.6850835127,622274.1567963036,-4019368.0929830293,-3964286.9734925157,0.9439619506140722
0.5999999999999666,4296910.0,410233.4330430876,548296.970953533,-3975106.1362062837,-3920075.6405068976,0.9431080892925072
0.6999999999999555,4271810.0,347055.1078849416,516916.7569509673,-3948363.804717015,-3896089.344071967,0.9438036772626386
0.7999999999999445,4264830.0,327255.5412012366,523835.2693336124,-3936424.5559755214,-3885466.5750143407,0.942596490453731
0.8999999999999335,4270220.0,312995.53500484,518894.24826592114,-3941369.650266532,-3889498.5903840535,0.939469992365187
0.9999999999999225,4282130.0,296545.4757843664,515836.13071873813,-3950858.995365069,-3896817.780187532,0.9411640027925079
