time,P,al_tube_hoop,an_tube_hoop,al_rod_sr,an_rod_sr,transmission
0.0,101325.0,,27643.46928856657,,-101325.0,
0.10000000000000081,4200450.0,600665.7287562964,807022.9871031829,-4039299.6061791745,-3751269.5273789023,0.978873843420472
0.20000000000000367,4221930.0,536156.044402506,766343.3240909732,-3818948.3495252896,-3806405.499887152,0.9254305419204186
0.2999999999999996,4387140.0,527211.1739226747,739008.5420206308,-4014702.2065664395,-3994584.1216804306,0.9340907756309151
0.3999999999999886,4408940.0,500789.8676830381,673719.0159623211,-4067781.3053792934,-4023719.4497919143,0.9397885496882746
0.4999999999999776,4367420.0,455133.3789732205,608639.7925987043,-4034778.509749734,-3984824.177007158,0.942262752258967
0.5999999999999666,4324910.0,399600.320107182,533513.3078715384,-3990314.397700119,-3945581.9137064153,0.9433367878255094
0.6999999999999555,4301640.0,336200.84153809864,523554.2999350312,-3964282.062630948,-3921969.154715594,0.9429187820767693
0.7999999999999445,4296980.0,326959.57701505284,517478.67379050364,-3958773.520987884,-3911854.081623321,0.9411400264596934
0.8999999999999335,4304110.0,339352.6003553042,512444.05875786376,-3964464.860794664,-3919514.1071124175,0.9363386743716968
0.9999999999999225,4316750.0,338337.79743450665,517701.6712512644,-3975387.1193229957,-3927108.280399042,0.9356731874271554
