r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
0.00041233333333333335,-3986877.2933750157,-3986631.1577929677,320.6770310395665,113600000.0,1.0,2,8,-3907243.7368667917,-3907243.7368667917
0.001237,-3986752.751903619,-3986754.4459880213,534.495988379965,113600000.0,1.0,2,14,-3907243.7368667917,-3907243.7368667917
0.0020616666666666665,-3986751.1006019367,-3986755.029679193,550.1896374122365,113600000.0,1.0,2,28,-3907243.7368667917,-3907243.7368667917
0.0028863333333333336,-3986879.0245326934,-3986626.9031400164,621.7143830414773,113600000.0,1.0,2,29,-3907243.7368667917,-3907243.7368667917
0.003711,-3987308.5262775635,-3986201.46055248,585.9674687811885,113600000.0,1.0,2,23,-3907243.7368667917,-3907243.7368667917
0.004535666666666667,-3987429.8109316276,-3986086.048478074,485.8059296038074,113600000.0,1.0,2,26,-3907243.7368667917,-3907243.7368667917
0.005360333333333333,-3987486.595748056,-3986036.964908021,363.3219406215473,113600000.0,1.0,2,21,-3907243.7368667917,-3907243.7368667917
0.006185,-3987482.4861338832,-3986049.3648753576,250.89478456099417,113600000.0,1.0,2,24,-3907243.7368667917,-3907243.7368667917
0.007009666666666667,-3987450.407336128,-3986089.182728757,200.7671165870577,113600000.0,1.0,2,22,-3907243.7368667917,-3907243.7368667917
0.007834333333333332,-3987400.403749922,-3986148.015610739,112.93558331181598,113600000.0,1.0,2,22,-3907243.7368667917,-3907243.7368667917
0.008659,-3987335.489991774,-3986220.5149828545,56.96652908753581,113600000.0,1.0,2,23,-3907243.7368667917,-3907243.7368667917
0.009483666666666668,-3987265.255416631,-3986297.208516898,15.40174876131027,113600000.0,1.0,2,20,-3907243.7368667917,-3907243.7368667917
0.010308333333333333,-3987169.0831880155,-3986397.6245692517,38.85671768816664,113600000.0,1.0,2,24,-3907243.7368667917,-3907243.7368667917
0.011133,-3987082.3769497387,-3986487.0200383873,84.53892896015591,113600000.0,1.0,2,20,-3907243.7368667917,-3907243.7368667917
0.011957666666666669,-3986981.56687444,-3986586.9295172514,111.09117804833164,113600000.0,1.0,2,23,-3907243.7368667917,-3907243.7368667917
0.012782333333333333,-3986873.81159157,-3986690.0186063694,148.351711854164,113600000.0,1.0,2,22,-3907243.7368667917,-3907243.7368667917
0.013607000000000001,-3986781.039755854,-3986776.1520489804,181.43291714712365,113600000.0,1.0,2,20,-3907243.7368667917,-3907243.7368667917
0.014431666666666666,-3986652.9889235846,-3986887.8575805817,166.42049379636194,113600000.0,1.0,2,24,-3907243.7368667917,-3907243.7368667917
0.015256333333333334,-3986563.2236642647,-3986962.3762669167,216.19523977170908,113600000.0,1.0,2,21,-3907243.7368667917,-3907243.7368667917
0.016080999999999998,-3986148.9708440183,-3987247.569456651,171.5788904578394,113600000.0,1.0,2,26,-3907243.7368667917,-3907243.7368667917
0.016905666666666666,-3985349.4970106687,-3987753.1158405445,488.59650597837026,113600000.0,1.0,2,55,-3907243.7368667917,-3907243.7368667917
0.017730333333333334,-3985247.0293697407,-3987759.9093006765,818.2535536557849,113600000.0,1.0,2,70,-3907243.7368667917,-3907243.7368668024
0.018555000000000002,-3985283.724890775,-3987682.424983478,893.8064334266636,113600000.0,1.0,2,94,-3907243.736866852,-3907243.7368720113
0.019379666666666667,-3985465.01114641,-3987505.463312913,1096.5737986546033,113600000.0,1.0,2,106,-3907243.7368684215,-3907243.736990814
0.020204333333333335,-3985618.918027471,-3987379.2565017994,1084.4948404106767,113600000.0,1.0,2,147,-3907243.73690496,-3907243.739815104
0.021029,-3985788.699885509,-3987232.9965667427,1168.5316442926965,113600000.0,1.0,2,167,-3907243.7377552185,-3907243.8013440757
0.021853666666666667,-3985955.901995378,-3987080.0034404336,1301.1742007796215,113600000.0,0.9999999999998617,2,191,-3907243.7538475334,-3907244.958066727
0.022678333333333335,-3986058.6852758056,-3987008.190258335,1264.6605167436317,113599999.99997884,0.9999999999870155,2,226,-3907244.0094933608,-3907263.60243374
0.023503000000000003,-3986242.4911703,-3987041.723621123,1339.5838535646897,113599999.99633272,0.9999999982537362,2,237,-3907247.6042724214,-3907500.3171398514
0.024327666666666668,-3986315.90636225,-3989078.6957773804,1259.0394920746169,113599999.64600801,0.9999998125774618,2,274,-3907283.0897949985,-3909577.213320737
0.025152333333333332,-3986333.6648705625,-4002031.757022728,1408.7261876200348,113599970.69412506,0.9999913879582178,2,273,-3907555.187333994,-3924443.775635505
0.025977,-3987304.4497389537,-4056288.645141096,2542.864711034802,113598434.26739405,0.9997326221257518,2,299,-3908993.889129241,-3990877.9790380476
0.026801666666666668,-3988382.8432640475,-4217571.678757792,8165.138087675594,113556837.89440556,0.9970492375167392,2,313,-3914115.3520956305,-4178272.1880093976
0.051541666666666666,-4134473.242693066,-13402.633355187389,15751.736807678002,113406603.56544226,0.9929264842379456,2,587,-4343644.954834808,181858.05408869137
0.052366333333333334,-4074121.3968675565,214531.23681292424,13855.727036331065,113591846.19257917,0.9982743474612358,2,604,-4269361.952746343,473481.84307804896
0.053191,-4011722.2902058805,240463.3022968416,10631.725182240096,113599724.78880273,0.9998657328025004,2,580,-4195373.840130171,515829.38428239326
0.05401566666666667,-3947561.832089261,209578.43431285088,9598.011777998336,113599996.10935047,0.9999973762358805,2,542,-4123646.573128404,482462.19343814964
0.05484033333333334,-3885742.0881301328,155118.7836317492,8763.466111853586,113599999.96095091,0.9999999671693576,2,517,-4054834.225965865,421026.93819132773
0.055665,-3825578.478440659,103472.94214743948,9140.611520520239,113599999.999373,0.9999999997510648,2,395,-3989006.218832651,356222.47484854056
0.05648966666666667,-3769080.4147620355,47905.64312585728,8192.328803602413,113600000.0,0.9999999999976381,2,338,-3926034.3062118674,293375.1913790491
0.057314333333333335,-3714970.5454246267,-5403.788169214338,6565.563800246825,113600000.0,1.0,2,300,-3865760.0280232495,233110.45213374263
0.058139,-3662894.4166732575,-57580.50033171993,5376.401974104957,113600000.0,1.0,2,256,-3808032.2406068067,175383.17729557003
0.058963666666666664,-3612360.850850611,-109616.2922541048,4289.498233974212,113600000.0,1.0,2,240,-3752709.8657112005,120060.82530638967
0.05978833333333333,-3564121.638328293,-157554.47152731213,3799.1490029609968,113600000.0,1.0,2,217,-3699660.79365507,67011.75394668954
0.060613,-3517683.4732275605,-205180.70145756716,3324.5171525725327,113600000.0,1.0,2,200,-3648761.9137577694,16112.874067581639
0.06143766666666667,-3473450.755751397,-249327.19701428185,3168.236438715442,113600000.0,1.0,2,187,-3599899.976084528,-32749.063605373853
0.062262333333333336,-3430859.510497451,-292310.7409785319,3065.3028712272935,113600000.0,1.0,2,168,-3552967.051350559,-79681.98833934279
0.063087,-3387816.7598926807,-335544.4734695955,2825.6850173134653,113600000.0,1.0,2,166,-3507859.398821658,-124789.6408682439
0.06391166666666667,-3347928.9975307863,-375406.4373092988,2444.820417068414,113600000.0,1.0,2,139,-3464490.3362671873,-168158.70342271513
0.06473633333333334,-3307826.6626228616,-414684.4708779341,2182.8686940266475,113600000.0,1.0,2,132,-3422765.2704292154,-209883.76926068708
0.06556100000000001,-3271675.0346753267,-451079.3940960149,1744.0306488837841,113600000.0,1.0,2,119,-3382606.5730698905,-250042.46662001184
0.06638566666666666,-3235565.521642339,-486392.04765488784,2028.9759554083203,113600000.0,1.0,2,97,-3343934.169514628,-288714.8701752736
0.06721033333333333,-3197786.228892286,-521299.8530502154,3017.538257575469,113600000.0,1.0,2,101,-3306676.6436749236,-325972.3960149791
0.068035,-3163825.8748086137,-554618.2222342347,4169.400872099618,113600000.0,1.0,2,72,-3270766.240663706,-361882.7990261966
0.06885966666666667,-3124852.9040777306,-585915.3973895604,6351.030789813871,113600000.0,1.0,2,69,-3236137.036870449,-396512.0028194534
0.06968433333333333,-3095599.8836214864,-615608.1614142597,8182.10802513649,113600000.0,1.0,2,55,-3202731.7593062897,-429917.28038361244
0.070509,-3049316.2639993695,-644997.0485132239,10742.116897286414,113600000.0,1.0,2,41,-3170489.6900474797,-462159.3496424229
0.07133366666666667,-3007117.1499367333,-669253.1145987256,17415.504522166277,113600000.0,1.0,2,33,-3139361.5181905515,-493287.52149935096
0.07215833333333334,-2944413.7790612727,-691516.2076922869,22774.94990033493,113600000.0,1.0,2,18,-3109292.9182741726,-523356.12141572934
0.072983,-2901785.113696593,-710580.7573457616,28492.500558478707,113600000.0,1.0,2,27,-3080238.7168670213,-552410.3228228807
0.07380766666666667,-2855837.411134681,-721334.7894730984,33776.96807115141,113600000.0,1.0,2,18,-3052152.543932547,-580496.4957573549
0.07463233333333333,-2797308.825730748,-706041.2615668675,40428.46149485034,113600000.0,1.0,2,24,-3024992.0915125664,-607656.948177336
0.075457,-2589560.9751997874,-797801.3641476777,73005.49391350937,146909705.88235426,1.0,2,21,-2998717.8401086414,-633931.1995812604
0.07628166666666666,-2697634.7224525455,-1306293.8219805823,90959.55711503413,1634346691.1764684,1.0,2,18,-2973290.0729600927,-659358.9667298096
0.07710633333333333,-2684851.6385887135,-1092656.8205542543,33881.72821959217,3341469117.6470575,1.0,2,27,-2948675.1812952054,-683973.858394697
0.077931,-2669583.0230282126,-1125181.7431503518,22806.876376535547,5790723860.294117,1.0,2,18,-2924836.205914668,-707812.833775234
0.07875566666666667,-2652852.036939044,-1082209.5545943512,19345.67414340753,8886742058.823534,1.0,2,25,-2901743.4315780685,-730905.6081118335
0.07958033333333334,-2670095.898773135,-1065582.1042760247,34549.65656065972,11685005193.014706,1.0,2,20,-2879363.9609936895,-753285.078696213
0.080405,-2659083.8585491627,-1049290.143866626,31322.126481563493,14957435955.882353,1.0,2,18,-2857669.988011857,-774979.0516780454
0.08122966666666667,-2658463.4243477676,-1045488.8320781407,27168.17852954918,17873621397.058823,1.0,2,27,-2837770.69269395,-969942.4007771123
0.08205433333333334,-2653731.283509689,-1053788.2236709597,21428.98602959295,20423201801.47059,1.0,2,18,-2819092.8743452765,-988620.2191257861
0.08287900000000001,-2749614.479753498,-1091109.4726954289,46285.839654687734,21295989208.409927,1.0,1,224,-2800969.823937131,-1006743.2695339312
0.08370366666666668,-2730266.460500105,-1090577.9672012795,53785.33579009181,23028948962.54595,1.0,1,224,-2783379.7867870964,-1024333.3066839661
0.08452833333333333,-2714794.677141014,-1084869.1175299112,62638.36193916657,24225068529.411766,1.0,1,213,-2766302.0642116303,-1041411.0292594322
0.085353,-2694758.3131144554,-1102707.5745807088,71648.08958210374,24975670780.101105,1.0,1,216,-2749716.9526066477,-1057996.1408644146
0.08617766666666667,-2682467.572065421,-1101800.717941813,82993.85084100692,25462286176.47059,1.0,1,196,-2733605.686589124,-1074107.406881938
0.08700233333333333,-2668142.035545408,-1115330.8024006947,90854.27940478663,25695454117.64706,1.0,1,189,-2717950.385893252,-1089762.7075778102
0.087827,-2660770.288492712,-1127669.2155682428,95659.35660249782,25829293953.35478,1.0,1,157,-2702734.0057404567,-1104979.0877306056
0.08865166666666667,-2662411.623086274,-1089632.774972283,120950.77048928935,25898484705.882355,1.0,1,121,-2687940.290425968,-1119772.8030450942
0.08947633333333334,-2655074.282223964,-1083367.9071982352,121187.16630208,26000000000.0,1.0,1,106,-2673553.729885888,-1134159.3635851743
0.090301,-2649694.9050751734,-1071681.330115637,124085.26262583649,26000000000.0,1.0,1,88,-2659559.5190280033,-1148153.574443059
0.09112566666666667,-2664843.3814713336,-1040603.4484930097,129142.4626421582,26000000000.0,1.0,1,72,-2645943.519627168,-1161769.573843895
0.09195033333333334,-2655357.0853600255,-1041616.2539007149,126046.01235210538,26000000000.0,1.0,1,63,-2632692.2246020855,-1175020.868868977
0.092775,-2661780.6376928343,-1023159.0497007516,138958.62676701293,26000000000.0,1.0,1,55,-2619792.724504911,-1187920.3689661513
0.09359966666666666,-2667714.2216552696,-1010712.6008483405,152464.58237482465,26000000000.0,1.0,1,45,-2607232.676068386,-1200480.4174026763
0.09442433333333333,-2668378.9232331617,-1002502.2021471461,156311.73329886957,26000000000.0,1.0,1,43,-2595000.272667396,-1212712.8208036665
0.095249,-2659593.935926561,-1000270.3437994898,175673.02725392333,26000000000.0,1.0,1,40,-2583084.2165629184,-1224628.8769081437
