r,n,phi,eta,mu,srr_node,srr_face
0.000375,3,1.0,1.0,113600000.00000001,-3986754.33629017,-3986754.7870211727
0.000875,3,1.0,1.0,113600000.00000001,-3986755.3681312827,-3986755.4818708086
0.0011250000000000001,6,1.0,1.0,113599999.99999997,-3986753.161986252,-3986755.0942217656
0.001375,5,1.0,1.0,113599999.99999999,-3986749.842778156,-3986753.04201598
0.0016250000000000001,8,1.0,1.0,113600000.0,-3986750.7121850806,-3986754.527141086
0.001875,5,1.0,1.0,113599999.99999999,-3986760.2864714013,-3986760.4096542494
0.002125,8,1.0,1.0,113600000.0,-3986747.0178093165,-3986751.863846879
0.002375,11,1.0,1.0,113599999.99999999,-3986748.0614913865,-3986753.2895351374
0.002625,6,1.0,1.0,113599999.99999997,-3986753.8158460925,-3986770.462749183
0.002875,11,1.0,1.0,113599999.99999999,-3986754.163193135,-3987084.8211517986
0.003125,10,1.0,1.0,113599999.99999999,-3987119.864198111,-3987284.2900795424
0.003375,9,1.0,1.0,113599999.99999999,-3986448.725267591,-3986637.5508648753
0.003625,7,1.0,1.0,113599999.99999997,-3986724.63968368,-3986728.555075596
0.003875,9,1.0,1.0,113600000.00000001,-3987028.3110952536,-3986984.789924048
0.004125,10,1.0,1.0,113599999.99999999,-3986567.2938473113,-3986780.6348405066
0.004375,9,1.0,1.0,113599999.99999999,-3986802.8862130186,-3986719.5667590196
0.004625,6,1.0,1.0,113599999.99999996,-3986883.036251123,-3986849.024180363
0.004875,14,1.0,1.0,113600000.00000003,-3986526.5156187736,-3986605.197303738
0.005125,9,1.0,1.0,113600000.00000001,-3987009.2820684034,-3986923.6806914504
0.0053750000000000004,8,1.0,1.0,113599999.99999999,-3986770.5315762376,-3987099.117582103
0.005625,10,1.0,1.0,113600000.0,-3986482.983280747,-3986435.6683978825
0.005875,12,1.0,1.0,113600000.0,-3986949.69045368,-3986903.823635548
0.006125,9,1.0,1.0,113599999.99999999,-3986343.5335458387,-3986425.318720075
0.0063750000000000005,12,1.0,1.0,113600000.00000001,-3986733.1200098633,-3986709.607299946
0.006625,9,1.0,1.0,113600000.00000001,-3987013.8309661793,-3986923.913991396
0.006875,13,1.0,1.0,113600000.00000003,-3986536.1949572503,-3986662.150293079
0.007125,9,1.0,1.0,113599999.99999999,-3986820.177661238,-3986743.118930914
0.0073750000000000005,11,1.0,1.0,113600000.00000001,-3986952.418337683,-3986932.926452629
0.007625,13,1.0,1.0,113600000.00000003,-3986420.8711851668,-3986509.736937352
0.007875,13,1.0,1.0,113600000.00000003,-3986936.003245777,-3986921.958738158
0.008125,8,1.0,1.0,113600000.0,-3986386.5317482594,-3986643.640728703
