Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.5,2162036,12,180169.7,125917.5,94110,455831,115180.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Solver::Nonlocal::Newton<Model::Solid::Finite::NeoHookeanPredeformed>::prepareForSolve(const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, const Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>> &, Set::Field<double> &, Set::Field<Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>> &, Set::Field<Set::Matrix4<(int)2, (int)1>> &, Set::Field<Model::Solid::Finite::NeoHookeanPredeformed> &)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.4,1953494,172,11357.5,11775.5,6816,18272,4320.8,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, Operator::Operator<(Grid)1>::interpolationAmr(int, amrex::MultiFab &, const amrex::MultiFab &, const amrex::IntVectND<(int)2> &) const::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.4,1641255,336,4884.7,5247.0,2080,10176,1868.0,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::CellConservativeLinear::interp(const amrex::FArrayBox &, int, amrex::FArrayBox &, int, int, const amrex::BoxND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Geometry &, const amrex::Geometry &, const amrex::Vector<amrex::BCRec, std::allocator<amrex::BCRec>> &, int, int, amrex::RunOn)::[lambda(int, int, int, int) (instance 9)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.3,1498567,906,1654.0,1536.0,1216,2464,230.1,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::FabArray<amrex::FArrayBox>::ParallelCopy_nowait(const amrex::FabArray<amrex::FArrayBox>&, int, int, int, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Periodicity &, amrex::FabArrayBase::CpOp, const amrex::FabArrayBase::CPC *, bool, bool)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.3,1347044,516,2610.6,2592.0,2399,3520,211.7,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::restriction(int, int, amrex::MultiFab &, amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.3,1231938,336,3666.5,3504.0,2367,5344,618.1,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::CellConservativeLinear::interp(const amrex::FArrayBox &, int, amrex::FArrayBox &, int, int, const amrex::BoxND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Geometry &, const amrex::Geometry &, const amrex::Vector<amrex::BCRec, std::allocator<amrex::BCRec>> &, int, int, amrex::RunOn)::[lambda(int, int, int, int) (instance 11)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.3,1111500,448,2481.0,2368.0,1375,3424,245.7,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::reflux(int, amrex::MultiFab &, const amrex::MultiFab &, const amrex::MultiFab &, amrex::MultiFab &, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.2,1064974,516,2063.9,2048.0,1888,2752,159.0,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::interpolation(int, int, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.2,903599,14,64542.8,76990.5,27295,99614,29978.3,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Flame::Advance(int, double, double)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.2,691510,557,1241.5,1248.0,896,2112,215.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, BC::Constant::FillBoundary(amrex::BaseFab<double> &, const amrex::BoxND<(int)2> &, int, int, int, double, BC::Orientation, const amrex::Mask *)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
