# Lagrangian Shock Diagnostics
# Jones et al. (2018) Ta validation
# Col 1: time (s)
# Col 2: free-surface velocity (m/s)
# Col 3: max pressure (Pa)
# Col 4: min pressure (Pa)
# Col 5: timestep (s)
1.00000000e-09  0.00000000e+00  6.85426486e+08  0.00000000e+00  1.00000000e-09
2.00000000e-09  0.00000000e+00  1.31907690e+09  0.00000000e+00  1.00000000e-09
3.00000000e-09  0.00000000e+00  1.89981724e+09  0.00000000e+00  1.00000000e-09
4.00000000e-09  0.00000000e+00  2.42744854e+09  0.00000000e+00  1.00000000e-09
5.00000000e-09  0.00000000e+00  2.90258765e+09  0.00000000e+00  1.00000000e-09
6.00000000e-09  0.00000000e+00  3.32654647e+09  0.00000000e+00  1.00000000e-09
7.00000000e-09  0.00000000e+00  3.70121419e+09  0.00000000e+00  1.00000000e-09
8.00000000e-09  0.00000000e+00  4.02894505e+09  0.00000000e+00  1.00000000e-09
9.00000000e-09  0.00000000e+00  4.31245353e+09  0.00000000e+00  1.00000000e-09
1.00000000e-08  0.00000000e+00  4.55471794e+09  0.00000000e+00  1.00000000e-09
1.10000000e-08  0.00000000e+00  4.75889336e+09  0.00000000e+00  1.00000000e-09
1.20000000e-08  0.00000000e+00  4.92823416e+09  0.00000000e+00  1.00000000e-09
1.30000000e-08  0.00000000e+00  5.06602631e+09  0.00000000e+00  1.00000000e-09
1.40000000e-08  0.00000000e+00  5.17552934e+09  0.00000000e+00  1.00000000e-09
1.50000000e-08  0.00000000e+00  5.25992782e+09  0.00000000e+00  1.00000000e-09
1.60000000e-08  0.00000000e+00  5.32229185e+09  0.00000000e+00  1.00000000e-09
1.70000000e-08  0.00000000e+00  5.36554561e+09  0.00000000e+00  1.00000000e-09
1.80000000e-08  0.00000000e+00  5.39244320e+09  0.00000000e+00  1.00000000e-09
1.90000000e-08  0.00000000e+00  5.40555109e+09  0.00000000e+00  1.00000000e-09
2.00000000e-08  0.00000000e+00  5.40723653e+09  0.00000000e+00  1.00000000e-09
2.10000000e-08  0.00000000e+00  5.39942777e+09  0.00000000e+00  1.00000000e-09
2.20000000e-08  0.00000000e+00  5.38355057e+09  0.00000000e+00  1.00000000e-09
