# Lagrangian Shock Diagnostics
# Jones et al. (2018) Ta validation
# Col 1: time (s)
# Col 2: free-surface velocity (m/s)
# Col 3: max pressure (Pa)
# Col 4: min pressure (Pa)
# Col 5: timestep (s)
1.00000000e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e-10
2.00000000e-10  0.00000000e+00  4.68365935e+00  -2.92757675e+00  1.00000000e-10
3.00000000e-10  0.00000000e+00  1.80986371e+01  -1.13500338e+01  1.00000000e-10
4.00000000e-10  0.00000000e+00  4.46337212e+01  -2.82130526e+01  1.00000000e-10
5.00000000e-10  0.00000000e+00  8.82402441e+01  -5.60959342e+01  1.00000000e-10
6.00000000e-10  0.00000000e+00  1.53000298e+02  -9.79610786e+01  1.00000000e-10
7.00000000e-10  0.00000000e+00  2.42549512e+02  -1.56398572e+02  1.00000000e-10
8.00000000e-10  0.00000000e+00  3.60868345e+02  -2.34386276e+02  1.00000000e-10
9.00000000e-10  0.00000000e+00  5.11482671e+02  -3.34523763e+02  1.00000000e-10
1.00000000e-09  0.00000000e+00  6.98157387e+02  -4.59803146e+02  1.00000000e-10
1.10000000e-09  0.00000000e+00  9.24194571e+02  -6.12832180e+02  1.00000000e-10
1.20000000e-09  0.00000000e+00  1.19335897e+03  -7.96616146e+02  1.00000000e-10
1.30000000e-09  0.00000000e+00  1.50883389e+03  -1.01376965e+03  1.00000000e-10
1.40000000e-09  0.00000000e+00  1.87415923e+03  -1.26730995e+03  1.00000000e-10
1.50000000e-09  0.00000000e+00  2.29239764e+03  -1.55985739e+03  1.00000000e-10
1.60000000e-09  0.00000000e+00  2.76708713e+03  -1.89444010e+03  1.00000000e-10
1.70000000e-09  0.00000000e+00  3.30097045e+03  -2.27368287e+03  1.00000000e-10
1.80000000e-09  0.00000000e+00  3.89722872e+03  -2.70062363e+03  1.00000000e-10
1.90000000e-09  0.00000000e+00  4.55862685e+03  -3.17789049e+03  1.00000000e-10
2.00000000e-09  0.00000000e+00  5.28846511e+03  -3.70853015e+03  1.00000000e-10
2.10000000e-09  0.00000000e+00  6.08959164e+03  -4.29517284e+03  1.00000000e-10
2.20000000e-09  0.00000000e+00  6.96523134e+03  -4.94087299e+03  1.00000000e-10
2.30000000e-09  0.00000000e+00  7.91856556e+03  -5.64826193e+03  1.00000000e-10
2.40000000e-09  0.00000000e+00  8.95292585e+03  -6.42040077e+03  1.00000000e-10
2.50000000e-09  0.00000000e+00  1.00712837e+04  -7.25992087e+03  1.00000000e-10
2.60000000e-09  0.00000000e+00  1.12769375e+04  -8.16988905e+03  1.00000000e-10
2.70000000e-09  0.00000000e+00  1.25731441e+04  -9.15293569e+03  1.00000000e-10
2.80000000e-09  0.00000000e+00  1.39634736e+04  -1.02121324e+04  1.00000000e-10
2.90000000e-09  0.00000000e+00  1.54507345e+04  -1.13501075e+04  1.00000000e-10
3.00000000e-09  0.00000000e+00  1.70379110e+04  -1.25699364e+04  1.00000000e-10
3.10000000e-09  0.00000000e+00  1.87278673e+04  -1.38742446e+04  1.00000000e-10
3.20000000e-09  0.00000000e+00  2.05237547e+04  -1.52661106e+04  1.00000000e-10
3.30000000e-09  0.00000000e+00  2.24287289e+04  -1.67481557e+04  1.00000000e-10
3.40000000e-09  0.00000000e+00  2.44462558e+04  -1.83234606e+04  1.00000000e-10
3.50000000e-09  0.00000000e+00  2.65797813e+04  -1.99946420e+04  1.00000000e-10
3.60000000e-09  0.00000000e+00  2.88325863e+04  -2.17647820e+04  1.00000000e-10
3.70000000e-09  0.00000000e+00  3.12079053e+04  -2.36364913e+04  1.00000000e-10
3.80000000e-09  0.00000000e+00  3.37092101e+04  -2.56128528e+04  1.00000000e-10
