,x,y,Eta001,disp_x,stress_xx
0,1.73828125,2.51953125,0.0,-2.094089824687186e-05,0.0001362191120726647
1,1.77734375,2.51953125,0.0,-2.0795519375281176e-05,0.00012941155352802727
2,1.81640625,2.51953125,0.0,-2.074479245064984e-05,0.00012325418639809745
3,1.85546875,2.51953125,0.0,-2.0832715617399837e-05,0.00011798912579054528
4,1.89453125,2.51953125,0.0,-2.1084973679325023e-05,0.00011365157408760054
5,1.93359375,2.51953125,0.0,-2.1509024146792456e-05,0.00011027822389300505
6,1.97265625,2.51953125,0.0,-2.211128702422182e-05,0.00010790658111469785
7,2.01171875,2.51953125,0.0,-2.2881862158165183e-05,0.00010656743897241449
8,1.11328125,2.51953125,0.0,4.672690613551071e-06,0.0001337217629527974
9,1.15234375,2.51953125,0.0,3.3883290502282686e-06,0.0001335707177942099
10,1.19140625,2.51953125,0.0,2.0115283000228257e-06,0.00013367338101713522
11,1.23046875,2.51953125,0.0,4.942512027518025e-07,0.00013426354144629397
12,2.83203125,2.51953125,0.0,-5.216629449677132e-05,0.00011413363774450666
13,2.87109375,2.51953125,0.0,-5.378232380544181e-05,0.00011320605728093598
14,2.91015625,2.51953125,0.0,-5.523352021710616e-05,0.00011241494694444424
15,2.94921875,2.51953125,0.0,-5.653048855084014e-05,0.00011157537630133848
16,2.98828125,2.51953125,0.0,-5.7685829546117745e-05,0.00011064436025425725
17,3.02734375,2.51953125,0.0,-5.8709745899495764e-05,0.00010959852782877749
18,3.06640625,2.51953125,0.0,-5.961239624525718e-05,0.00010835742230137896
19,3.10546875,2.51953125,0.0,-6.040664988310094e-05,0.00010681996554695136
20,3.14453125,2.51953125,0.0,-6.11067425262788e-05,0.00010490605672850415
21,3.18359375,2.51953125,0.0,-6.172905831747488e-05,0.00010254669556261796
22,3.22265625,2.51953125,0.0,-6.229319060739419e-05,9.968521205928091e-05
23,3.26171875,2.51953125,0.0,-6.281935378388429e-05,9.633610815449454e-05
24,3.30078125,2.51953125,0.0,-6.332821225685825e-05,9.253948348744538e-05
25,3.33984375,2.51953125,0.0,-6.383952418029091e-05,8.837575423942963e-05
26,3.37890625,2.51953125,0.0,-6.437224453063576e-05,8.392399749764605e-05
27,3.41796875,2.51953125,0.0,-6.494557310817865e-05,7.9208003996699e-05
28,3.45703125,2.51953125,2.3204707094345122e-06,-6.558381398068453e-05,7.422920528908877e-05
29,3.49609375,2.51953125,9.374728645802173e-06,-6.631383909058659e-05,6.87816683084601e-05
30,3.53515625,2.51953125,3.377759772030628e-05,-6.718131556704875e-05,6.269740520556578e-05
31,3.57421875,2.51953125,0.00012014404024725775,-6.822973605445728e-05,5.5723773560520166e-05
32,4.08203125,2.51953125,0.999987419997133,-4.971864607486307e-05,-5.9039640182838234e-05
33,4.12109375,2.51953125,0.9999977735309172,-4.5277340794138935e-05,-6.480589880115576e-05
34,4.16015625,2.51953125,1.0,-4.10067723457801e-05,-7.019550833599996e-05
35,4.19921875,2.51953125,1.0,-3.687576384691377e-05,-7.540923437784714e-05
36,4.23828125,2.51953125,1.0,-3.285186085468449e-05,-8.062224272071988e-05
37,4.27734375,2.51953125,1.0,-2.8917834181311633e-05,-8.602663699638373e-05
