kernel,launches,total_ms,pct_of_kernel_time,avg_us,block_x
"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpLogicalOr>::eval_box<amrex::Reduce::detail::iterate_box, (int)2, amrex::ReduceData<int>, Solver::Nonlocal::Newton<Model::Solid::Finite::NeoHookeanPredeformed>::HasNonFinite(const Set::Field<double> &, bool) const::[lambda(int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)",18,0.062,0.015,3.42,256
"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpLogicalOr>::eval_box<amrex::Reduce::detail::iterate_box_comp, (int)2, amrex::ReduceData<bool>, std::enable_if<amrex::IsFabArray<T1, void>::value, void>::type amrex::ReduceOps<amrex::ReduceOpLogicalOr>::eval<amrex::FabArray<amrex::FArrayBox>, amrex::ReduceData<bool>, amrex::MultiFab::is_finite(int, int, const amrex::IntVectND<(int)2> &, bool) const::[lambda(int, int, int, int, int) (instance 1)]>(const T1 &, const amrex::IntVectND<(int)2> &, int, T2 &, T3 &&)::[lambda(int, int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)",12,0.052,0.012,4.3,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Flame::UpdateModel(int, double)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",6,0.045,0.011,7.53,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::BaseFab<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>>>::setVal<amrex::BaseFab<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>>, (int)0>(Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",27,0.043,0.01,1.6,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>>::Copy(int, amrex::MultiFab &, int, int) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",18,0.036,0.009,2.0,256
"void amrex::launch_global<(int)256, T1::Type amrex::ReduceOps<amrex::ReduceOpLogicalOr>::value<amrex::ReduceData<int>>(T1&)::[lambda() (instance 1)]>(T2)",18,0.036,0.008,1.99,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Set::Field<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>>::CopyFrom(int, amrex::MultiFab &, int, int) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",18,0.028,0.007,1.54,256
"void amrex::launch_global<(int)256, T1::Type amrex::ReduceOps<amrex::ReduceOpLogicalOr>::value<amrex::ReduceData<bool>>(T1&)::[lambda() (instance 1)]>(T2)",12,0.025,0.006,2.1,256
"void amrex::launch_global<(int)256, amrex::MLNodeLinOp::buildMasks()::[lambda() (instance 1)]>(T2)",5,0.022,0.005,4.35,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, IC::Constant::Add(const int &, Set::Field<double> &, double)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",12,0.021,0.005,1.77,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, long, std::enable_if<!std::is_trivially_default_constructible_v, void>::type amrex::placementNew<Model::Solid::Finite::NeoHookeanPredeformed>(T1 *, long)::[lambda(long) (instance 1)], void>(const amrex::Gpu::KernelInfo &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",3,0.02,0.005,6.57,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::FArrayBox>::Saxpy<amrex::FArrayBox, (int)0>(amrex::FabArray<amrex::FArrayBox>&, double, const amrex::FabArray<amrex::FArrayBox>&, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",6,0.013,0.003,2.22,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, long, std::enable_if<!std::is_trivially_default_constructible_v, void>::type amrex::placementNew<Eigen::Matrix<double, (int)2, (int)2, (int)0, (int)2, (int)2>>(T1 *, long)::[lambda(long) (instance 1)], void>(const amrex::Gpu::KernelInfo &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",15,0.013,0.003,0.87,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::BaseFab<Model::Solid::Finite::NeoHookeanPredeformed>>::setVal<amrex::BaseFab<Model::Solid::Finite::NeoHookeanPredeformed>, (int)0>(Model::Solid::Finite::NeoHookeanPredeformed, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",3,0.012,0.003,4.14,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Base::Mechanics<Model::Solid::Finite::NeoHookeanPredeformed>::Advance(int, double, double)::[lambda(int, int, int) (instance 3)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",14,0.012,0.003,0.82,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, BC::Operator::Elastic::Constant::Init(amrex::FabArray<amrex::BaseFab<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>>> *, const amrex::Geometry &, bool) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",6,0.011,0.003,1.86,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::FArrayBox>::mult<amrex::FArrayBox, (int)0>(double, int, int, int)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",6,0.011,0.003,1.8,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::FArrayBox>::plus<amrex::FArrayBox, (int)0>(double, int, int, int)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",6,0.011,0.003,1.8,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::IArrayBox>::setVal<amrex::IArrayBox, (int)0>(int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",7,0.01,0.002,1.4,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::average_down<amrex::FArrayBox>(const amrex::FabArray<T1> &, amrex::FabArray<T1> &, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 7)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",4,0.008,0.002,2.08,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, long, std::enable_if<!std::is_trivially_default_constructible_v, void>::type amrex::placementNew<Eigen::Matrix<double, (int)2, (int)1, (int)0, (int)2, (int)1>>(T1 *, long)::[lambda(long) (instance 1)], void>(const amrex::Gpu::KernelInfo &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",9,0.008,0.002,0.91,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::FabArray<amrex::IArrayBox>::BuildMask<amrex::IArrayBox, (int)0>(const amrex::BoxND<(int)2> &, const amrex::Periodicity &, int, int, int, int)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",5,0.008,0.002,1.57,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, Operator::Elastic<(int)1>::averageDownCoeffsSameAmrLevel(int)::[lambda(int, int, int, int) (instance 2)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",4,0.008,0.002,1.95,256
"void amrex::launch_global<(int)256, void amrex::detail::ParallelFor_doit<amrex::Array4BoxTag<int>, std::enable_if<std::is_same_v, void>::type amrex::ParallelFor<amrex::Array4BoxTag<int>, void amrex::<unnamed>::makeFineMask_doit<amrex::IArrayBox>(amrex::FabArray<T1> &, const amrex::BoxArray &, const amrex::IntVectND<(int)2> &, const amrex::Periodicity &, T1::value_type, T1::value_type)::[lambda(int, int, int, int, const amrex::Array4BoxTag<int> &) (instance 1)]>(const amrex::TagVector<T1> &, int, const T2 &)::[lambda(int, int, int, int, int, const amrex::Array4BoxTag<int> &) (instance 1)]>(const amrex::TagVector<T1> &, const T2 &)::[lambda() (instance 1)]>(T2)",2,0.004,0.001,2.05,256
"void amrex::launch_global<(int)256, void amrex::detail::ParallelFor_doit<amrex::Array4BoxTag<int>, std::enable_if<std::is_same_v, void>::type amrex::ParallelFor<amrex::Array4BoxTag<int>, amrex::FabArray<amrex::IArrayBox>::CMD_local_setVal_gpu(int, const amrex::FabArrayBase::CommMetaData &, int, int)::[lambda(int, int, int, int, const amrex::Array4BoxTag<int> &) (instance 1)]>(const amrex::TagVector<T1> &, int, const T2 &)::[lambda(int, int, int, int, int, const amrex::Array4BoxTag<int> &) (instance 1)]>(const amrex::TagVector<T1> &, const T2 &)::[lambda() (instance 1)]>(T2)",2,0.004,0.001,1.94,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, amrex::MLNodeLinOp::buildMasks()::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",2,0.003,0.001,1.65,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::fixUpResidualMask(int, amrex::iMultiFab &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",2,0.003,0.001,1.55,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, void amrex::<unnamed>::makeFineMask_doit<amrex::IArrayBox>(amrex::FabArray<T1> &, const amrex::BoxArray &, const amrex::IntVectND<(int)2> &, const amrex::Periodicity &, T1::value_type, T1::value_type)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",2,0.003,0.001,1.33,256
"void amrex::launch_global<(int)256, amrex::<unnamed>::MLNodeLinOp_set_dot_mask(amrex::MultiFab &, const amrex::iMultiFab &, const amrex::Geometry &, const amrex::GpuArray<amrex::LinOpBCType, (unsigned int)2> &, const amrex::GpuArray<amrex::LinOpBCType, (unsigned int)2> &, amrex::MLNodeLinOp::CoarseningStrategy)::[lambda() (instance 1)]>(T2)",1,0.003,0.001,2.59,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, amrex::OwnerMask(const amrex::FabArrayBase &, const amrex::Periodicity &, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",2,0.003,0.001,1.26,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, void amrex::mlndlap_bc_doit<int>(const amrex::BoxND<(int)2> &, const amrex::ArrayND<T1, (int)4, (bool)1> &, const amrex::BoxND<(int)2> &, const amrex::GpuArray<bool, (unsigned int)2> &, const amrex::GpuArray<bool, (unsigned int)2> &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",1,0.002,0.001,2.3,256
