kernel,launches,total_ms,pct_of_kernel_time,avg_us,block_x
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::reflux(int, amrex::MultiFab &, const amrex::MultiFab &, const amrex::MultiFab &, amrex::MultiFab &, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",516,1.249,0.296,2.42,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Operator<(Grid)1>::interpolation(int, int, amrex::MultiFab &, const amrex::MultiFab &) const::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",492,1.027,0.243,2.09,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::Copy<amrex::FArrayBox, amrex::FArrayBox, (int)0>(amrex::FabArray<T1> &, const amrex::FabArray<T2> &, int, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",528,0.983,0.233,1.86,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Flame::Advance(int, double, double)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",14,0.892,0.211,63.73,256
"void amrex::launch_global<(int)256, T1::Type amrex::ReduceOps<amrex::ReduceOpMax>::value<amrex::ReduceData<double>>(T1&)::[lambda() (instance 1)]>(T2)",200,0.586,0.139,2.93,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::average_down<amrex::FArrayBox>(const amrex::FabArray<T1> &, amrex::FabArray<T1> &, int, int, const amrex::IntVectND<(int)2> &)::[lambda(int, int, int, int) (instance 3)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",328,0.586,0.139,1.79,256
"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpMax>::eval_box<amrex::Reduce::detail::iterate_box, (int)2, amrex::ReduceData<double>, std::enable_if<amrex::IsFabArray<T1, void>::value, void>::type amrex::ReduceOps<amrex::ReduceOpMax>::eval<amrex::FabArray<amrex::FArrayBox>, amrex::ReduceData<double>, T2::value_type amrex::FabArray<amrex::FArrayBox>::norminf<amrex::IArrayBox, amrex::FArrayBox, (int)0>(const amrex::FabArray<T1> &, int, int, const amrex::IntVectND<(int)2> &, bool) const::[lambda(int, int, int, int) (instance 1)]>(const T1 &, const amrex::IntVectND<(int)2> &, T2&, T3 &&)::[lambda(int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)",96,0.575,0.136,5.99,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::CellConservativeLinear::interp(const amrex::FArrayBox &, int, amrex::FArrayBox &, int, int, const amrex::BoxND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Geometry &, const amrex::Geometry &, const amrex::Vector<amrex::BCRec, std::allocator<amrex::BCRec>> &, int, int, amrex::RunOn)::[lambda(int, int, int, int) (instance 9)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)",96,0.55,0.13,5.73,256
"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Flame::Advance(int, double, double)::[lambda(int, int, int) (instance 2)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)",14,0.546,0.129,38.98,256
"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpMax>::eval_box<amrex::Reduce::detail::iterate_box_comp, (int)2, amrex::ReduceData<double>, std::enable_if<amrex::IsFabArray<T1, void>::value, void>::type amrex::ReduceOps<amrex::ReduceOpMax>::eval<amrex::FabArray<amrex::FArrayBox>, amrex::ReduceData<double>, T1::value_type amrex::FabArray<amrex::FArrayBox>::norminf<amrex::FArrayBox, (int)0>(int, int, const amrex::IntVectND<(int)2> &, bool, bool) const::[lambda(int, int, int, int, int) (instance 1)]>(const T1&, const amrex::IntVectND<(int)2> &, int, T2 &, T3 &&)::[lambda(int, int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)",104,0.502,0.119,4.82,256
