time,P,al_tube_hoop,an_tube_hoop,al_rod_sr,an_rod_sr,transmission
0.0,101325.0,,27639.94235869449,,-101325.0,
0.10000000000000081,4199800.0,816767.8460634921,807498.6766833235,-4030912.4498640276,-3750142.077335075,0.9808175615789434
0.20000000000000367,4221710.0,738656.2698218958,766730.4983203099,-3808124.7371742013,-3805138.883326531,0.9322022065136512
0.2999999999999996,4387210.0,740973.5150979259,739691.6468395293,-4011943.633311508,-3994230.0513121793,0.9329266375365838
0.3999999999999886,4409250.0,722703.5097193334,674812.7291285462,-4061129.631667596,-4023064.8873732723,0.9390687035372264
0.4999999999999776,4367840.0,721795.2190526654,608700.6944494055,-4029156.4407637278,-3985298.6262008967,0.9416371228763939
0.5999999999999666,4325460.0,719732.0668046311,532126.0202521327,-3983714.170293028,-3946015.9440277927,0.9441960962450252
0.6999999999999555,4302310.0,720580.4609035854,520435.1849039958,-3957726.500919252,-3922511.3885920467,0.9440956748383319
0.7999999999999445,4297820.0,723909.3815213043,513886.17026862496,-3952249.8833695026,-3912588.9034352754,0.942004810355237
0.8999999999999335,4305130.0,729509.6246225312,508829.7987348499,-3959246.20199254,-3920440.3361362116,0.9361716792099773
0.9999999999999225,4317690.0,737806.4140354339,517852.8426434593,-3966622.563721264,-3928147.358463946,0.9401985238663918
