r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
0.00041233333333333335,-3980859.0330108837,-3980623.0633780914,4.829049976976885e-11,113600000.0,1.0,1,3,-3908124.846670083,-3908124.846670083
0.001237,-3980736.934899251,-3980740.2834750107,184.96042969940825,113600000.0,1.0,1,5,-3908124.846670083,-3908124.846670083
0.0020616666666666665,-3980737.651497345,-3980736.3485058947,204.72776162394035,113600000.0,1.0,1,7,-3908124.846670083,-3908124.846670083
0.0028863333333333336,-3980727.2292779805,-3980744.5409453353,178.09258370637235,113600000.0,1.0,1,7,-3908124.846670083,-3908124.846670083
0.003711,-3980723.6513845706,-3980745.2810937148,183.72453568322967,113600000.0,1.0,1,13,-3908124.846670083,-3908124.846670083
0.004535666666666667,-3980723.9553151457,-3980741.3313762913,202.52091904570068,113600000.0,1.0,1,15,-3908124.846670083,-3908124.846670083
0.005360333333333333,-3980692.8781800824,-3980768.917984626,185.0065154519405,113600000.0,1.0,1,14,-3908124.846670083,-3908124.846670083
0.006185,-3980730.01861237,-3980729.6542782313,221.86845539853738,113600000.0,1.0,1,19,-3908124.846670083,-3908124.846670083
0.007009666666666667,-3980743.8696405073,-3980713.8551757713,242.20291160818687,113600000.0,1.0,1,21,-3908124.846670083,-3908124.846670083
0.007834333333333332,-3980644.7376915105,-3980805.418431373,222.68004477445606,113600000.0,1.0,1,19,-3908124.846670083,-3908124.846670083
0.008659,-3980688.7646274413,-3980759.8289930653,287.5950956783108,113600000.0,1.0,1,29,-3908124.846670083,-3908124.846670083
0.009483666666666668,-3980731.6528611183,-3980717.4757960937,350.3275309585695,113600000.0,1.0,1,29,-3908124.846670083,-3908124.846670083
0.010308333333333333,-3980705.3448980665,-3980739.1217352543,384.18295046551185,113600000.0,1.0,1,27,-3908124.846670083,-3908124.846670083
0.011133,-3980685.4974877387,-3980753.794645274,467.4451260074644,113600000.0,1.0,1,30,-3908124.846670083,-3908124.846670083
0.011957666666666669,-3980682.984107517,-3980752.524111117,465.9680602511745,113600000.0,1.0,1,39,-3908124.846670083,-3908124.846670083
0.012782333333333333,-3980669.9530502413,-3980759.987208195,526.0778317319495,113600000.0,1.0,1,37,-3908124.846670083,-3908124.846670083
0.013607000000000001,-3980607.367022976,-3980805.7001059363,626.7056625446844,113600000.0,1.0,1,35,-3908124.846670083,-3908124.846670083
0.014431666666666666,-3980764.275569511,-3980680.451866668,681.4336830310377,113600000.0,1.0,1,43,-3908124.846670083,-3908124.846670083
0.015256333333333334,-3980749.3511130232,-3980693.7001933227,735.9444451555173,113600000.0,1.0,1,43,-3908124.846670083,-3908124.846670083
