r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
0.00041233333333333335,-3986877.2637807615,-3986631.1251046956,320.6772701915849,113600000.0,1.0,2,8,-3907263.3076267396,-3907263.3076267396
0.001237,-3986752.679189945,-3986754.3748763246,534.4959966710569,113600000.0,1.0,2,14,-3907263.3076267396,-3907263.3076267396
0.0020616666666666665,-3986751.0140102287,-3986754.9581565484,550.191347954485,113600000.0,1.0,2,28,-3907263.3076267396,-3907263.3076267396
0.0028863333333333336,-3986878.93580098,-3986626.780910346,621.7290676135802,113600000.0,1.0,2,29,-3907263.3076267396,-3907263.3076267396
0.003711,-3987308.4331619916,-3986201.34111623,585.9556308496373,113600000.0,1.0,2,23,-3907263.3076267396,-3907263.3076267396
0.004535666666666667,-3987429.705610821,-3986085.9431647216,485.8000791037069,113600000.0,1.0,2,26,-3907263.3076267396,-3907263.3076267396
0.005360333333333333,-3987486.501525452,-3986036.866855544,363.3279610778845,113600000.0,1.0,2,21,-3907263.3076267396,-3907263.3076267396
0.006185,-3987482.388434185,-3986049.29274844,250.9272432694494,113600000.0,1.0,2,24,-3907263.3076267396,-3907263.3076267396
0.007009666666666667,-3987450.32742974,-3986089.045609553,200.7359872655652,113600000.0,1.0,2,22,-3907263.3076267396,-3907263.3076267396
0.007834333333333332,-3987400.339734197,-3986147.919432436,112.95012859342329,113600000.0,1.0,2,22,-3907263.3076267396,-3907263.3076267396
0.008659,-3987335.413047678,-3986220.4408953236,57.02342099318904,113600000.0,1.0,2,23,-3907263.3076267396,-3907263.3076267396
0.009483666666666668,-3987265.2042695186,-3986297.1069227606,15.412183274577746,113600000.0,1.0,2,20,-3907263.3076267396,-3907263.3076267396
0.010308333333333333,-3987169.078664675,-3986397.506749487,38.88937591794562,113600000.0,1.0,2,24,-3907263.3076267396,-3907263.3076267396
0.011133,-3987082.3754053884,-3986486.935705807,84.52058990537029,113600000.0,1.0,2,20,-3907263.3076267396,-3907263.3076267396
0.011957666666666669,-3986981.5583783286,-3986586.8872625045,111.01247051431156,113600000.0,1.0,2,23,-3907263.3076267396,-3907263.3076267396
0.012782333333333333,-3986873.858901741,-3986689.9591248985,148.33253013564243,113600000.0,1.0,2,22,-3907263.3076267396,-3907263.3076267396
0.013607000000000001,-3986781.1606400935,-3986776.0795107437,181.48348580481976,113600000.0,1.0,2,20,-3907263.3076267396,-3907263.3076267396
0.014431666666666666,-3986653.0942962957,-3986887.8413328505,166.40482338522978,113600000.0,1.0,2,24,-3907263.3076267396,-3907263.3076267396
0.015256333333333334,-3986563.301628607,-3986962.4081465467,216.1202349738782,113600000.0,1.0,2,21,-3907263.3076267396,-3907263.3076267396
0.016080999999999998,-3986149.0803580796,-3987247.634474514,171.70845325188,113600000.0,1.0,2,26,-3907263.3076267396,-3907263.3076267396
0.016905666666666666,-3985349.644110563,-3987753.1846542466,488.61226692111154,113600000.0,1.0,2,55,-3907263.3076267396,-3907263.3076267396
0.017730333333333334,-3985247.312384379,-3987759.9581695385,818.3479312349367,113600000.0,1.0,2,70,-3907263.3076267396,-3907263.3076267503
0.018555000000000002,-3985283.5545971966,-3987682.365409413,893.3955873429866,113600000.0,1.0,2,94,-3907263.3076267997,-3907263.3076319597
0.019379666666666667,-3985465.415812167,-3987506.218866373,1096.3981527319647,113600000.0,1.0,2,106,-3907263.3076283694,-3907263.3077507615
0.020204333333333335,-3985619.0645291577,-3987379.142755513,1084.4594187439977,113600000.0,1.0,2,147,-3907263.307664908,-3907263.3105750517
0.021029,-3985788.8344951617,-3987232.9111058847,1168.4709248685979,113600000.0,1.0,2,167,-3907263.308515162,-3907263.372104028
0.021853666666666667,-3985955.6907592155,-3987079.6650899244,1301.2438340849849,113600000.0,0.9999999999998617,2,191,-3907263.3246075287,-3907264.5288266274
0.022678333333333335,-3986055.075301428,-3987005.183500139,1266.0473012843593,113599999.99997884,0.9999999999870155,2,226,-3907263.58025311,-3907283.173193887
